2017-07-06 02:10:50	TEST: sped 
2017-07-06 02:10:59	TEST: speed 
2017-07-06 02:11:28	TEST: allbuff 
2017-07-06 02:11:38	TEST: allbuff TEST
2017-07-06 02:11:47	TEST: patrol 
2017-07-06 02:12:37	TEST: adshop 
2017-07-06 02:12:42	TEST: adshop 1
2017-07-06 02:22:56	TEST: move 
2017-07-06 02:23:03	TEST: move 33441 32819 4
2017-07-06 02:23:15	TEST: move 32862 32835 601
2017-07-06 02:23:52	TEST: level 
2017-07-06 02:23:55	TEST: level 99
2017-07-06 02:24:10	TEST: addskill 
2017-07-06 02:24:43	TEST: move 33431 32797 4
2017-07-06 02:27:43	TEST: move 32777 32776 53
2017-07-06 02:44:10	TEST: move 33441 32819 4
2017-07-06 02:44:19	TEST: move 3262 32835 601
2017-07-06 02:44:34	TEST: move 32757 32820 454
